<START:location> Strilkovychi (49.5, 23.13333) <END>
<START:location> Mertsalivka (48.44219, 36.16994) <END>
<START:location> Dihtiari (50.76078, 34.36998) <END>
<START:location> Buriakivka (50.07887, 37.39613) <END>
<START:location> SLAVA-750, 750 kV-Substation (47.99969, 35.5082) <END>
<START:location> Saignie Bay (49.44167, -2.36722) <END>
<START:location> Pershe Travnia (51.67361, 31.4955) <END>
<START:location> Zhuravychi (50.98016, 25.71931) <END>
<START:location> Kamyshly (44.66312, 33.64332) <END>
<START:location> Vasylivka (52.30496, 33.74034) <END>
<START:location> Snegiryovka (45.7805, 34.07493) <END>
<START:location> Biliakivka (48.1858, 36.87882) <END>
<START:location> Zhyva (49.25702, 29.52371) <END>
<START:location> Zhukiv Yar (50.02909, 37.38279) <END>
<START:location> Orlivka (45.31659, 28.44046) <END>
<START:location> Forosty (50.11667, 24.15) <END>
<START:location> Rivne (46.01753, 29.1398) <END>
<START:location> Chervona Koloniya (49.96667, 28.3) <END>
<START:location> Podgornoye (44.45207, 33.82317) <END>
<START:location> Novoselovka (49.81972, 37.76333) <END>
<START:location> Mendeleyevo (45.32488, 34.20041) <END>
<START:location> Bashtanka Raion (47.40583, 32.43386) <END>
<START:location> Tepla (48.77719, 39.3259) <END>
<START:location> Dominopol’ (50.91667, 24.56667) <END>
<START:location> Kachanove (50.43045, 33.64709) <END>
<START:location> Kniahynynok (50.80197, 25.25825) <END>
<START:location> Slobidka (50.307, 26.50089) <END>
<START:location> Rizhky (49.53241, 30.2991) <END>
<START:location> Bahatyrka (49.46404, 30.11985) <END>
<START:location> Artema Slisarchuka Street (50.15334, 26.81486) <END>
<START:location> Vyla (50.25509, 28.17294) <END>
<START:location> Tynne (50.60145, 26.18486) <END>
<START:location> Zapovidnyk Rivnenskyi (51.50085, 27.20631) <END>
<START:location> Krasnohorodka (49.3845, 30.68035) <END>
<START:location> Uhly (51.21892, 26.49374) <END>
<START:location> Chystohalivka (51.35996, 30.01382) <END>
<START:location> Butivtsi (49.85169, 27.09999) <END>
<START:location> Cantemir II (46.26989, 29.56107) <END>
<START:location> Balki (44.9939, 34.4552) <END>
<START:location> Palyvoda (51.00258, 32.00281) <END>
<START:location> Imshana (51.90881, 33.7846) <END>
<START:location> Ibis Kiev Shevchenko Boulevard (50.44533, 30.49847) <END>
<START:location> Hora Dohiaska (48.26791, 24.16233) <END>
<START:location> Bapkan (50.23333, 23.86667) <END>
<START:location> Deikalivka (50.11577, 34.28602) <END>
<START:location> Pavlivka (49.46041, 29.36491) <END>
<START:location> Hora Mayak (45.34405, 36.23548) <END>
<START:location> Dorozhnoye (44.87208, 33.82155) <END>
<START:location> Hora Lak (48.32505, 23.55487) <END>
<START:location> Osnova station (49.93596, 36.23954) <END>
<START:location> Teplychne (47.87144, 35.27547) <END>
<START:location> Жовті Води (48.35, 33.5) <END>
<START:location> Urochyshche Stepove (45.2365, 34.57678) <END>
<START:location> Luhove (46.97543, 35.47026) <END>
<START:location> Serbynivka (50.09952, 32.28061) <END>
<START:location> Nyzhnyi Naholchyk (48.0156, 39.07092) <END>
<START:location> Zheleznoye (48.31667, 37.85) <END>
<START:location> Dzhhun (49.67435, 36.09769) <END>
<START:location> Revchik (49.93333, 35.9) <END>
<START:location> Krymne (51.51183, 25.88004) <END>
<START:location> Yezerki (50.4, 24.96667) <END>
<START:location> Yosypivka (47.42169, 30.23727) <END>
<START:location> Urochishche Kruglaya (51.76389, 25.42077) <END>
<START:location> Sukhomlynskoho Lane (50.77663, 29.25178) <END>
<START:location> Stavrivka (50.92413, 29.71374) <END>
<START:location> Novooleksandrivka (48.35516, 31.48877) <END>
<START:location> Chernivestkyi Raion (48.22166, 25.89845) <END>
<START:location> Svitla Dolyna (47.88333, 35.98333) <END>
<START:location> Belousov (49.85752, 35.24268) <END>
<START:location> Danilovka (44.52189, 34.26042) <END>
<START:location> Nechaivka (50.04858, 26.97641) <END>
<START:location> Velyka Buhaivka (50.17817, 30.4526) <END>
<START:location> Davydivtsi (48.48756, 25.70811) <END>
<START:location> Kumshatske (48.20473, 38.5033) <END>
<START:location> Chervonaya Gusarovka (49.39245, 36.87833) <END>
<START:location> Ivanovka (48.897, 30.16399) <END>
<START:location> Mokryye (50.9, 27.11667) <END>
<START:location> Peremoha (47.55066, 30.70823) <END>
<START:location> Gayvoronka (49.25278, 25.38134) <END>
<START:location> Pylypchykha (48.93972, 28.97192) <END>
<START:location> Lazarivka (47.87874, 32.78668) <END>
<START:location> Hrekivka (49.2458, 37.91891) <END>
<START:location> Monastyrske (46.9593, 33.55046) <END>
<START:location> Mikhaylovskoye sel'skoye poselenye (45.52728, 34.64032) <END>
<START:location> Sadku (50.14264, 28.05243) <END>
<START:location> Konoplivtsi (48.44259, 22.76153) <END>
<START:location> Tartak (49.08479, 28.08802) <END>
<START:location> Liubechanyniv (50.93837, 30.92321) <END>
<START:location> Sovkhoz Borzenskiy (46.96667, 33.36667) <END>
<START:location> Lahodivka (49.71672, 33.48419) <END>
<START:location> Rohizky (51.68015, 31.84134) <END>
<START:location> Voinycheve (47.19375, 29.86129) <END>
<START:location> Bilousivka (49.42897, 33.09634) <END>
<START:location> Izmail Raion (45.35081, 28.83752) <END>
<START:location> Novopskovskiy Rayon (49.5, 39.08333) <END>
<START:location> Zabary (46.30429, 29.75202) <END>
<START:location> Kryvyi Rih-Zakhidnyi (47.8795, 33.31002) <END>
<START:location> Vasylkiv I (50.22609, 30.2245) <END>
<START:location> Nemylianka (50.46392, 27.74285) <END>
<START:location> Nova Dacha (47.37154, 36.3546) <END>
<START:location> Chervonyi Stav (49.28464, 37.83719) <END>
<START:location> Bakhchysarai Raion (44.75002, 33.8633) <END>
<START:location> Nikolayevka (49.29556, 36.21417) <END>
<START:location> Berezhnytsya (49.01839, 24.44259) <END>
<START:location> Sredniy Maydan (48.63829, 24.75461) <END>
<START:location> Figurovka (48.85972, 38.18472) <END>
<START:location> Ilemnia (48.85254, 23.98051) <END>
<START:location> Rivne (48.10294, 36.22394) <END>
<START:location> Kurylivka (51.84889, 33.07497) <END>
<START:location> Shirokiy (51.87984, 34.24408) <END>
<START:location> Starodubivka (48.89024, 37.79494) <END>
<START:location> Boremel (50.47103, 25.19337) <END>
<START:location> Rozsadky (48.42943, 38.34668) <END>
<START:location> Vyla-Yaruzki (48.44499, 28.03762) <END>
<START:location> Bobryk (50.67655, 33.49706) <END>
<START:location> Yaremychi (49.83637, 27.45638) <END>
<START:location> Turkovychi (50.33072, 25.64802) <END>
<START:location> Sviatoslav (49.00627, 23.47152) <END>
<START:location> Stryzhivshchyna (49.34983, 34.65213) <END>
<START:location> Shirokiy (47.55934, 36.38778) <END>
<START:location> Stylske Vidslonennia (47.67977, 37.79153) <END>
<START:location> Ryzhove (48.93865, 36.71307) <END>
<START:location> Hodomychi (51.06628, 25.51381) <END>
<START:location> Mykhailivske (49.51781, 35.11655) <END>
<START:location> Mala Martynka (48.52818, 23.07236) <END>
<START:location> Peredmistia (48.97282, 25.47132) <END>
<START:location> Ostashevtsy (49.66035, 25.32772) <END>
<START:location> Oplitsko (50.20672, 24.75566) <END>
<START:location> Borisovka (49.07262, 29.18834) <END>
<START:location> Druzhelyubivka (47.60121, 30.77218) <END>
<START:location> Stantsiya Zarutskiy (51.6844, 34.06028) <END>
<START:location> Zalizna Balka (48.3192, 37.92305) <END>
<START:location> Vesele (48.58955, 35.78656) <END>
<START:location> Chuikivka (52.03299, 34.00175) <END>
<START:location> Vynohradne (46.96612, 32.6799) <END>
<START:location> Stantsiya Mostki (49.7192, 23.8294) <END>
<START:location> Pryluky (51.46341, 28.86574) <END>
<START:location> Pylypki (49.95, 28.35) <END>
<START:location> Moie des Orgeries (49.42528, -2.37333) <END>
<START:location> Hleblyna (48.06292, 25.02589) <END>
<START:location> Shkarlaty (50.29184, 35.39255) <END>
<START:location> Creve Coeur (49.50833, -2.53333) <END>
<START:location> Povstyn (50.17003, 32.63132) <END>
<START:location> Berezhtsi (51.16841, 23.87155) <END>
<START:location> Solone (49.73555, 39.34873) <END>
<START:location> Stepove (49.65553, 36.8262) <END>
<START:location> Okhotyn (50.75435, 25.11065) <END>
<START:location> Orekhovets (49.46829, 26.18315) <END>
<START:location> Kaluha (47.36354, 32.94101) <END>
<START:location> Hvyntove (51.28002, 33.68478) <END>
<START:location> Chigirin-Dubrava (49.28333, 32.91667) <END>
<START:location> Stantsiya Fastiv-II (50.05315, 29.94203) <END>
<START:location> Topylivka (49.26131, 32.45215) <END>
<START:location> Gusinka (49.76591, 37.24233) <END>
<START:location> Variazh (50.51455, 24.0923) <END>
<START:location> Ocheretina Balka (47.76667, 33.06667) <END>
<START:location> Verkhni Remety (48.26693, 22.86419) <END>
<START:location> Krasylivske (50.6704, 27.39489) <END>
<START:location> Slavuta Raion (50.29646, 26.86609) <END>
<START:location> Khreschatyk Guesthouse (50.44961, 30.52264) <END>
<START:location> Poliukhne (50.49984, 24.65886) <END>
<START:location> Dubove (47.44, 29.28694) <END>
<START:location> Stantsiia Aivazovska (45.059, 35.39131) <END>
<START:location> Shevchenko (47.26759, 37.98512) <END>
<START:location> Arbuzynka (47.90791, 31.31701) <END>
<START:location> Pozhezhe (48.92805, 25.53435) <END>
<START:location> Hnizna (49.26849, 25.69507) <END>
<START:location> Opir (49.11025, 23.59507) <END>
<START:location> Tulyholove (51.59498, 33.65954) <END>
<START:location> Potichok (49.47157, 34.04354) <END>
<START:location> Soborne (49.56102, 25.76591) <END>
<START:location> Lutuhyne (48.0268, 38.66298) <END>
<START:location> Izobil’noye (47.69711, 34.21818) <END>
<START:location> Staraya Sharapanovka (48.5, 28.91667) <END>
<START:location> Raduzhne (50.33509, 26.42529) <END>
<START:location> Baqa Tas (44.98229, 35.11471) <END>
<START:location> Soleny (48.19283, 37.15699) <END>
<START:location> Hora Polovatynets (48.92627, 23.7707) <END>
<START:location> Mala Yablunka (51.22588, 25.49228) <END>
<START:location> Lysohirka (47.65658, 35.09834) <END>
<START:location> Spychyntsi (49.41164, 29.16127) <END>
<START:location> Flotskoye (44.50599, 33.55374) <END>
<START:location> Urochishche Iskrovka (46.55929, 34.97996) <END>
<START:location> Davydovka (48.51056, 39.17583) <END>
<START:location> Pidzvirynets (49.57221, 23.7163) <END>
<START:location> Chornomorka (46.35695, 30.70213) <END>
<START:location> Borivske (49.83934, 34.72243) <END>
<START:location> Ostky (51.2627, 27.36681) <END>
<START:location> Zaguzhe (49.7, 24.05) <END>
<START:location> Brovary Raion (50.58333, 31) <END>
<START:location> Antonіvka (48.94484, 25.0539) <END>
<START:location> Ukrainske (50.08436, 36.50005) <END>
<START:location> Stepove (49.2368, 36.55322) <END>
<START:location> Tomylivka (49.74896, 30.26609) <END>
<START:location> Imeni (50.18306, 36.21778) <END>
<START:location> Kruta Balka (48.17364, 34.0304) <END>
<START:location> Lybokhora (48.9365, 23.0621) <END>
<START:location> Berezniki (51.87268, 24.68455) <END>
<START:location> Zamulintse (48.49045, 25.1962) <END>
<START:location> Pesets (48.77741, 27.19139) <END>
<START:location> Strazhev (50.61167, 34.16306) <END>
<START:location> Romashkove (52.15641, 33.96168) <END>
<START:location> Novoselitsa (50.09672, 33.50441) <END>
<START:location> Zamchyky (49.7296, 27.37716) <END>
<START:location> Dmytrivka (49.67173, 31.85271) <END>
<START:location> Rudnia (50.75, 28.25) <END>
<START:location> Sukil (49.16547, 24.0668) <END>
<START:location> Dremaylovka (46.85, 33.53333) <END>
<START:location> Chapayevo (45.51234, 33.62517) <END>
<START:location> Mexanization Center track work of Pivdenno-Zakhidna Railway (50.41721, 30.41528) <END>
<START:location> Vulytsia Tolbukhina (46.42924, 30.72941) <END>
<START:location> Korsunove (49.72442, 35.49396) <END>
<START:location> Kalynivka (48.42203, 37.67743) <END>
<START:location> Urochishche Nakhom (51.70833, 25.26336) <END>
<START:location> Hvozdove (49.89137, 35.36633) <END>
<START:location> Serdobyne (50.25752, 37.39966) <END>
<START:location> Kolodnytsya (49.34483, 23.83679) <END>
<START:location> Karalar (45.44194, 36.16278) <END>
<START:location> Hlushky (49.88523, 30.22116) <END>
<START:location> Udrytsk (51.74705, 26.75048) <END>
<START:location> Myrne (50.70786, 33.05029) <END>
<START:location> Ivanchanka (46.34269, 29.13319) <END>
<START:location> Chornorichenskyi Kanion (44.51667, 33.75) <END>
<START:location> Demianivka (47.70925, 33.15412) <END>
<START:location> Molodetske (50.32317, 34.64158) <END>
<START:location> Derlo (48.43716, 27.80226) <END>
<START:location> Vesele (47.76102, 35.66554) <END>
<START:location> Novoselivske (48.54613, 35.80215) <END>
<START:location> Nahuievychi (49.36641, 23.33122) <END>
<START:location> Petrivka (51.84767, 31.7436) <END>
<START:location> Aromat (44.57844, 33.93805) <END>
<START:location> Pidbrusyn (50.37972, 25.47724) <END>
<START:location> Vol’noye Zaporozh’ye (46.68333, 33.61667) <END>
<START:location> Vyshchyi Bulatets (50.02997, 32.90031) <END>
<START:location> Dmitrovskoye sel'skoye poselenye (45.48294, 35.05772) <END>
<START:location> Bogoblagodatnoye (47.93333, 33.2) <END>
<START:location> Polohy (50.33436, 34.99579) <END>
<START:location> Hubarivka (50.17706, 35.37224) <END>
<START:location> Pryluky (50.57972, 32.38555) <END>
<START:location> Vesela Hora (48.62052, 37.11929) <END>
<START:location> Husnyi (48.94237, 22.85152) <END>
<START:location> Vperëd (51.21667, 28.08333) <END>
<START:location> Vyshniakivka (49.64214, 33.84662) <END>
<START:location> Rybtsi (49.61675, 34.48071) <END>
<START:location> Krasnohirske (47.81837, 36.35178) <END>
<START:location> Stanovets (48.25975, 23.55163) <END>
<START:location> Novochervone (49.63034, 38.30096) <END>
<START:location> Gora Yavornik (48.77669, 23.28532) <END>
<START:location> Koziatyn (50.35674, 34.86059) <END>
<START:location> Zaporizhzhia (48.03327, 36.76605) <END>
<START:location> Haiove (48.47064, 32.81505) <END>
<START:location> Belki (49.45789, 32.22861) <END>
<START:location> Vynohradne (49.39567, 39.40582) <END>
<START:location> Kryshtopivka (50.00805, 32.08442) <END>
<START:location> Dunaiska Street (45.52636, 29.13446) <END>
<START:location> Novoiefremivka (46.48018, 34.9377) <END>
<START:location> Stantsiya Uman’ (48.73444, 30.20278) <END>
<START:location> Chervonyi Kut (49.1459, 30.32347) <END>
<START:location> Hora Vuzlova (45.26035, 36.15139) <END>
<START:location> Niklovichi (49.73304, 23.41799) <END>
<START:location> Panskoe (45.55269, 32.81327) <END>
<START:location> Tymoshchenkove (50.75388, 33.80319) <END>
<START:location> Hut (48.31077, 22.58541) <END>
<START:location> Shypit (48.70483, 22.80769) <END>
<START:location> Poteriaiky-Horovi (49.69627, 34.07253) <END>
<START:location> Lupareve (46.69167, 31.975) <END>
<START:location> Srednyaya Teplaya (48.81667, 38.38333) <END>
<START:location> Antosia (50.27483, 25.15255) <END>
<START:location> Podillia (50.19382, 31.35741) <END>
<START:location> Ivanivka (49.53423, 32.84981) <END>
