<START:location> Стрілковичі (49.5, 23.13333) <END>
<START:location> Мерцалівка (48.44219, 36.16994) <END>
<START:location> Dihtiari (50.76078, 34.36998) <END>
<START:location> Буряківка (50.07887, 37.39613) <END>
<START:location> СЛАВА-750, ПС 750 кВ (47.99969, 35.5082) <END>
<START:location> Saignie Bay (49.44167, -2.36722) <END>
<START:location> Перше Травня (51.67361, 31.4955) <END>
<START:location> Журавичі (50.98016, 25.71931) <END>
<START:location> Камишли (44.66312, 33.64332) <END>
<START:location> Василівка (52.30496, 33.74034) <END>
<START:location> Снегирьовка (45.7805, 34.07493) <END>
<START:location> Біляківка (48.1858, 36.87882) <END>
<START:location> Жива (49.25702, 29.52371) <END>
<START:location> Жуків Яр (50.02909, 37.38279) <END>
<START:location> Орлівка (45.31659, 28.44046) <END>
<START:location> Форості (50.11667, 24.15) <END>
<START:location> Рівне (46.01753, 29.1398) <END>
<START:location> Червона колонія (49.96667, 28.3) <END>
<START:location> Підгірне (44.45207, 33.82317) <END>
<START:location> Новоселовка (49.81972, 37.76333) <END>
<START:location> Менделєєво (45.32488, 34.20041) <END>
<START:location> Баштанський район (47.40583, 32.43386) <END>
<START:location> Тепла (48.77719, 39.3259) <END>
<START:location> Dominopol’ (50.91667, 24.56667) <END>
<START:location> Качанове (50.43045, 33.64709) <END>
<START:location> Княгининок (50.80197, 25.25825) <END>
<START:location> Слобідка (50.307, 26.50089) <END>
<START:location> Ріжки (49.53241, 30.2991) <END>
<START:location> Багатирка (49.46404, 30.11985) <END>
<START:location> Вулиця Артема Слісарчука (50.15334, 26.81486) <END>
<START:location> Вила (50.25509, 28.17294) <END>
<START:location> Tynne (50.60145, 26.18486) <END>
<START:location> Заповідник Рівненський (51.50085, 27.20631) <END>
<START:location> Красногородка (49.3845, 30.68035) <END>
<START:location> Угли (51.21892, 26.49374) <END>
<START:location> Чистогалівка (51.35996, 30.01382) <END>
<START:location> Бутівці (49.85169, 27.09999) <END>
<START:location> Кантемир II (46.26989, 29.56107) <END>
<START:location> Балки (44.9939, 34.4552) <END>
<START:location> Паливода (51.00258, 32.00281) <END>
<START:location> Імшана (51.90881, 33.7846) <END>
<START:location> Ibis Київ бульвар Шевченка (50.44533, 30.49847) <END>
<START:location> Hora Dohiaska (48.26791, 24.16233) <END>
<START:location> Бапкан (50.23333, 23.86667) <END>
<START:location> Дейкалівка (50.11577, 34.28602) <END>
<START:location> Павлівка (49.46041, 29.36491) <END>
<START:location> Гора Маяк (45.34405, 36.23548) <END>
<START:location> Дорожне (44.87208, 33.82155) <END>
<START:location> Hora Lak (48.32505, 23.55487) <END>
<START:location> Станція Основа (49.93596, 36.23954) <END>
<START:location> Тепличне (47.87144, 35.27547) <END>
<START:location> Жовті Води (48.35, 33.5) <END>
<START:location> Урочище Степове (45.2365, 34.57678) <END>
<START:location> Лугове (46.97543, 35.47026) <END>
<START:location> Сербинівка (50.09952, 32.28061) <END>
<START:location> Нижній Нагольчик (48.0156, 39.07092) <END>
<START:location> Железное (48.31667, 37.85) <END>
<START:location> Джхун (49.67435, 36.09769) <END>
<START:location> Ревчик (49.93333, 35.9) <END>
<START:location> Кримне (51.51183, 25.88004) <END>
<START:location> Yezerki (50.4, 24.96667) <END>
<START:location> Йосипівка (47.42169, 30.23727) <END>
<START:location> Урочище Круглая (51.76389, 25.42077) <END>
<START:location> Провулок Сухомлинського (50.77663, 29.25178) <END>
<START:location> Ставрівка (50.92413, 29.71374) <END>
<START:location> Новоолександрівка (48.35516, 31.48877) <END>
<START:location> Чернівецький район (48.22166, 25.89845) <END>
<START:location> Світла Долина (47.88333, 35.98333) <END>
<START:location> Білоусов (49.85752, 35.24268) <END>
<START:location> Данилівка (44.52189, 34.26042) <END>
<START:location> Нечаївка (50.04858, 26.97641) <END>
<START:location> Велика Бугаївка (50.17817, 30.4526) <END>
<START:location> Давидівці (48.48756, 25.70811) <END>
<START:location> Кумшатське (48.20473, 38.5033) <END>
<START:location> Червона Гусарівка (49.39245, 36.87833) <END>
<START:location> Іванівка (48.897, 30.16399) <END>
<START:location> Мокрие (50.9, 27.11667) <END>
<START:location> Перемога (47.55066, 30.70823) <END>
<START:location> Гайворонька (49.25278, 25.38134) <END>
<START:location> Пилипчиха (48.93972, 28.97192) <END>
<START:location> Лазарівка (47.87874, 32.78668) <END>
<START:location> Греківка (49.2458, 37.91891) <END>
<START:location> Монастирське (46.9593, 33.55046) <END>
<START:location> Михайлівське сельське поселення (45.52728, 34.64032) <END>
<START:location> Sadku (50.14264, 28.05243) <END>
<START:location> Коноплівці (48.44259, 22.76153) <END>
<START:location> Тартак (49.08479, 28.08802) <END>
<START:location> Любечанинів (50.93837, 30.92321) <END>
<START:location> Совхоз Борзенський (46.96667, 33.36667) <END>
<START:location> Лагодівка (49.71672, 33.48419) <END>
<START:location> Рогізьки (51.68015, 31.84134) <END>
<START:location> Войничеве (47.19375, 29.86129) <END>
<START:location> Білоусівка (49.42897, 33.09634) <END>
<START:location> Ізмаїльський район (45.35081, 28.83752) <END>
<START:location> Новопсковський район (49.5, 39.08333) <END>
<START:location> Zabary (46.30429, 29.75202) <END>
<START:location> Кривий Ріг-Західний (47.8795, 33.31002) <END>
<START:location> Васильків I (50.22609, 30.2245) <END>
<START:location> Немилянка (50.46392, 27.74285) <END>
<START:location> Нова Дача (47.37154, 36.3546) <END>
<START:location> Червоний Став (49.28464, 37.83719) <END>
<START:location> Бахчисарайський район (44.75002, 33.8633) <END>
<START:location> Миколаївка (49.29556, 36.21417) <END>
<START:location> Бережниця (49.01839, 24.44259) <END>
<START:location> Середній Майдан (48.63829, 24.75461) <END>
<START:location> Фігурівка (48.85972, 38.18472) <END>
<START:location> Ілемнія (48.85254, 23.98051) <END>
<START:location> Рівне (48.10294, 36.22394) <END>
<START:location> Курилівка (51.84889, 33.07497) <END>
<START:location> Широкий (51.87984, 34.24408) <END>
<START:location> Стародубівка (48.89024, 37.79494) <END>
<START:location> Boremel (50.47103, 25.19337) <END>
<START:location> Розсадки (48.42943, 38.34668) <END>
<START:location> Вила-Ярузькі (48.44499, 28.03762) <END>
<START:location> Бобрик (50.67655, 33.49706) <END>
<START:location> Яремичі (49.83637, 27.45638) <END>
<START:location> Турковичі (50.33072, 25.64802) <END>
<START:location> Святослав (49.00627, 23.47152) <END>
<START:location> Стрижівщина (49.34983, 34.65213) <END>
<START:location> Широкий (47.55934, 36.38778) <END>
<START:location> Стильське Відслонення (47.67977, 37.79153) <END>
<START:location> Рижове (48.93865, 36.71307) <END>
<START:location> Годомичі (51.06628, 25.51381) <END>
<START:location> Михайлівське (49.51781, 35.11655) <END>
<START:location> Мала Мартинка (48.52818, 23.07236) <END>
<START:location> Передмістя (48.97282, 25.47132) <END>
<START:location> Осташевці (49.66035, 25.32772) <END>
<START:location> Оплицько (50.20672, 24.75566) <END>
<START:location> Борисівка (49.07262, 29.18834) <END>
<START:location> Дружелюбівка (47.60121, 30.77218) <END>
<START:location> Станція Заруцький (51.6844, 34.06028) <END>
<START:location> Залізна Балка (48.3192, 37.92305) <END>
<START:location> Веселе (48.58955, 35.78656) <END>
<START:location> Чуйківка (52.03299, 34.00175) <END>
<START:location> Виноградне (46.96612, 32.6799) <END>
<START:location> Станція Мостки (49.7192, 23.8294) <END>
<START:location> Прилуки (51.46341, 28.86574) <END>
<START:location> Пилипки (49.95, 28.35) <END>
<START:location> Moie des Orgeries (49.42528, -2.37333) <END>
<START:location> Глеблина (48.06292, 25.02589) <END>
<START:location> Шкарлати (50.29184, 35.39255) <END>
<START:location> Creve Coeur (49.50833, -2.53333) <END>
<START:location> Повстинь (50.17003, 32.63132) <END>
<START:location> Бережці (51.16841, 23.87155) <END>
<START:location> Солоне (49.73555, 39.34873) <END>
<START:location> Степове (49.65553, 36.8262) <END>
<START:location> Охотин (50.75435, 25.11065) <END>
<START:location> Ореховець (49.46829, 26.18315) <END>
<START:location> Калуга (47.36354, 32.94101) <END>
<START:location> Гвинтове (51.28002, 33.68478) <END>
<START:location> Чигирин-Дубрава (49.28333, 32.91667) <END>
<START:location> Станція Фастів-ІІ (50.05315, 29.94203) <END>
<START:location> Топилівка (49.26131, 32.45215) <END>
<START:location> Гусинка (49.76591, 37.24233) <END>
<START:location> Варяж (50.51455, 24.0923) <END>
<START:location> Очеретина Балка (47.76667, 33.06667) <END>
<START:location> Верхні Ремети (48.26693, 22.86419) <END>
<START:location> Красилівське (50.6704, 27.39489) <END>
<START:location> Славутський район (50.29646, 26.86609) <END>
<START:location> Гостинний будинок Хрещатик (50.44961, 30.52264) <END>
<START:location> Полюхне (50.49984, 24.65886) <END>
<START:location> Дубове (47.44, 29.28694) <END>
<START:location> Stantsiia Aivazovska (45.059, 35.39131) <END>
<START:location> Shevchenko (47.26759, 37.98512) <END>
<START:location> Арбузинка (47.90791, 31.31701) <END>
<START:location> Пожеже (48.92805, 25.53435) <END>
<START:location> Гнізна (49.26849, 25.69507) <END>
<START:location> Opir (49.11025, 23.59507) <END>
<START:location> Тулиголове (51.59498, 33.65954) <END>
<START:location> Потічок (49.47157, 34.04354) <END>
